taxon	module	has_comp	has_ko	oap_v3	n_classes	dominant_class	oxy_class	o2_eff	so4_eff	ch4_eff	no3_eff	has_oap	has_mcr	has_pmo	has_nar	has_nos	has_cyd	has_cox	has_sred
S__3300001683_21	yellow	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
S__3300001683_28	turquoise	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300001683_31	turquoise	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300001683_37	grey	TRUE	TRUE	-28	2	ANX	sulfate_reducer	0	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
S__3300001683_4	turquoise	TRUE	TRUE	360	1	NO3	denitrifier	0	0	0	0.5	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
S__3300001835_22	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300002154_2	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300002239_5	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
S__3300004630_4	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300004632_4	grey	TRUE	TRUE	691.111111111111	2	O2	aerobic	1	0	0	1.25	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
S__3300005056_12	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300005253_23	grey	TRUE	TRUE	-217	1	SO4	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300005253_25	grey	TRUE	FALSE	-244	1	CH4	methanogen	0	0	0.333333333333333	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300005391_1	grey	TRUE	TRUE	314.222222222222	3	NO3	sulfate_reducer	0	0.666666666666667	0	1.25	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
S__3300005613_10	grey	TRUE	TRUE	-244	1	CH4	methanogen	0	0	0.333333333333333	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300005838_29	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300006083_2	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300006311_3	turquoise	TRUE	TRUE	405.2	2	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300006613_4	blue	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300006902_27	blue	TRUE	FALSE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300006913_7	grey	TRUE	TRUE	405.953488372093	4	O2	facultative	1	1	0	1.25	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
S__3300006913_8	grey	TRUE	TRUE	518.6	3	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300007519_15	grey	TRUE	TRUE	793.333333333333	2	O2	aerobic	1	0	0	0.5	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
S__3300007519_57	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
S__3300007722_38	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300007772_7	grey	TRUE	TRUE	350	1	ANX	no_call	0	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300008212_1	grey	TRUE	TRUE	712.727272727273	3	O2	aerobic	1	0	0	0.5	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
S__3300009702_26	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300009702_34	grey	TRUE	TRUE	506	3	O2	facultative	1	0.333333333333333	0	0.5	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
S__3300009702_36	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300009703_7	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300009703_8	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
S__3300009840_13	grey	TRUE	TRUE	702.5	2	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
S__3300010038_14	grey	TRUE	TRUE	66.5	2	ANX	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300010316_3	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300011118_20	grey	TRUE	TRUE	-231.727272727273	2	SO4	sulfate_reducer	0	0.333333333333333	0.4	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
S__3300011118_36	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300011186_2	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300011992_7	grey	TRUE	TRUE	609.090909090909	3	O2	aerobic	1	0	0	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
S__3300012045_6	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300012183_8	grey	TRUE	TRUE	-217	1	SO4	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
S__3300012950_5	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300012950_6	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300012950_8	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300013290_3	grey	TRUE	TRUE	469.846153846154	4	O2	facultative	1	0.666666666666667	0	1.25	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
S__3300013833_2	grey	TRUE	TRUE									FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
S__3300015063_1	grey	TRUE	TRUE	637.142857142857	3	O2	aerobic	1	0	0	1	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
S__3300017418_15	grey	TRUE	TRUE	350	1	ANX	no_call	0	0	0	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
S__3300017441_13	grey	TRUE	TRUE	405.2	2	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300017929_23	grey	TRUE	FALSE	-244	1	CH4	methanogen	0	0	0.333333333333333	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300017991_24	grey	TRUE	TRUE	-217	1	SO4	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
S__3300019458_28	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020187_18	turquoise	TRUE	TRUE	712.727272727273	3	O2	aerobic	1	0	0	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020243_4	grey	TRUE	TRUE									FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
S__3300020253_8	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020262_3	grey	TRUE	TRUE	128.804878048781	4	NO3	sulfate_reducer	0	1	0.4	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300020262_32	grey	FALSE	FALSE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300020263_12	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020263_16	turquoise	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020263_9	grey	TRUE	TRUE	-217	1	SO4	sulfate_reducer	0	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300020285_8	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020300_16	grey	TRUE	TRUE	26	2	ANX	methanogen	0	0	0.4	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300020303_2	turquoise	TRUE	TRUE	301.5	2	O2	facultative	1	1	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020303_5	turquoise	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020304_5	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020307_15	grey	TRUE	FALSE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300020307_16	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020307_9	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020310_5	grey	TRUE	TRUE	405.2	2	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020317_19	green	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020330_9	grey	TRUE	TRUE	66.5	2	ANX	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
S__3300020364_17	grey	TRUE	TRUE	313.2	3	O2	facultative	1	1	0	0.5	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
S__3300020373_18	grey	TRUE	TRUE	666.666666666667	2	O2	aerobic	1	0	0	0.5	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
S__3300020376_11	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020376_9	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020385_31	green	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020389_10	grey	TRUE	TRUE	666.666666666667	2	O2	aerobic	1	0	0	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
S__3300020389_13	turquoise	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020389_17	turquoise	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020389_18	grey	TRUE	TRUE	518.6	3	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020389_30	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020389_47	yellow	TRUE	FALSE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300020396_14	turquoise	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020396_15	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020396_30	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020396_35	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020415_29	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020423_20	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
S__3300020444_12	turquoise	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020469_71	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300020476_8	grey	TRUE	TRUE	-217	1	SO4	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300020477_58	grey	TRUE	TRUE	396	3	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
S__3300020477_98	blue	FALSE	FALSE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300021089_16	yellow	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300021089_20	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300021185_15	green	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300021508_9	grey	TRUE	TRUE	-217	1	SO4	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300021511_7	grey	TRUE	TRUE	-39.7446808510638	3	NO3	sulfate_reducer	0	0.666666666666667	0.4	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300022227_18	grey	TRUE	TRUE	360	1	NO3	denitrifier	0	0	0	0.5	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
S__3300022827_4	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300022833_6	grey	TRUE	TRUE	518.6	3	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
S__3300022839_4	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300022857_9	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300022885_8	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300022891_2	grey	TRUE	TRUE	482	4	O2	facultative	1	0.333333333333333	0	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
S__3300022920_20	yellow	TRUE	FALSE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300022933_36	blue	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300023271_4	grey	TRUE	FALSE	360	1	NO3	denitrifier	0	0	0	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300023296_6	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024058_12	grey	TRUE	TRUE	405.2	2	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024058_14	grey	TRUE	TRUE	350	1	ANX	no_call	0	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300024058_15	turquoise	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024058_22	turquoise	TRUE	TRUE	350	1	ANX	no_call	0	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024060_20	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024060_22	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
S__3300024060_27	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024060_33	grey	TRUE	FALSE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300024313_13	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024344_27	blue	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024344_29	grey	TRUE	TRUE	590	2	O2	aerobic	1	0	0	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024344_6	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024353_106	brown	FALSE	FALSE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300024353_29	brown	TRUE	TRUE	-231.727272727273	2	SO4	sulfate_reducer	0	0.333333333333333	0.4	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300024353_30	brown	TRUE	TRUE	-236.551724137931	2	SO4	sulfate_reducer	0	0.333333333333333	0.875	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300024353_49	brown	TRUE	FALSE	-244	1	CH4	methanogen	0	0	0.6	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300024353_52	grey	TRUE	FALSE	-244	1	CH4	methanogen	0	0	0.4	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300024353_62	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300024431_22	grey	TRUE	TRUE	129.2	2	NO3	sulfate_reducer	0	0.333333333333333	0	0.5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300024431_27	grey	TRUE	TRUE	405.2	2	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
S__3300024431_33	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024431_39	brown	TRUE	TRUE	518.6	3	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024431_52	grey	TRUE	TRUE	66.5	2	ANX	sulfate_reducer	0	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024431_6	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024433_12	grey	TRUE	FALSE	-244	1	CH4	methanogen	0	0	0.4	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300024433_21	grey	TRUE	TRUE	-233.2	2	SO4	sulfate_reducer	0	0.333333333333333	0.5	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300024433_34	brown	TRUE	TRUE	-233.2	2	SO4	sulfate_reducer	0	0.333333333333333	0.5	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300024516_13	grey	TRUE	TRUE	396	3	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024516_14	grey	TRUE	TRUE	518.6	3	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024516_18	turquoise	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300024516_24	grey	TRUE	TRUE	350	1	ANX	no_call	0	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
S__3300024516_26	turquoise	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300024516_32	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300024516_38	turquoise	TRUE	FALSE	350	1	ANX	no_call	0	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
S__3300024529_6	grey	TRUE	TRUE	371	4	O2	facultative	1	0.333333333333333	0.4	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300025214_4	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
S__3300025220_11	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300025220_9	blue	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300025232_12	blue	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300025232_4	turquoise	TRUE	TRUE	405.2	2	O2	facultative	1	0.666666666666667	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300025238_24	grey	TRUE	TRUE									FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300025243_2	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300025243_6	grey	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
S__3300025269_14	grey	TRUE	TRUE	560.75	2	O2	facultative	1	0.333333333333333	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
S__3300025276_12	turquoise	TRUE	TRUE	820	1	O2	aerobic	1	0	0	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
