taxon	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role
S__GCF_000214415.1	d__Archaea	p__Methanobacteriota_A	c__Methanococci	12	2	1771	100	TRUE	GCF_000214415.1	Methanogenesis_diagenetic	Diagenetic	Diagenetic_methanogen	diagenetic_in_situ	CO2	Tier1_kegg_present	0.99	KEGG_METH	present	1	M00567;M00357;M00356;M00563;M00617;W00012;W00013;W00018	M00567:1;M00357:0.8;M00356:0.67;M00563:0.75;M00617:1;W00012:0.8;W00013:1;W00018:0.6	K00399;K00401;K00402	mcrA (K00399-402)	Thauer et al. 2008 Nat Rev Microbiol	10.1038/nrmicro1931	
S__GCA_014240435.1	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	34	5	7259	100	TRUE	GCA_014240435.1	Symbiont_DPANN	Symbionts	Symbiont	uncertain	Host-dependent	Tier2_taxonomy_broad	0.7	GTDB_DPANN						GTDB c__Nanoarchaeia	Castelle & Banfield 2018 Cell; Dombrowski et al. 2020 Nat Commun	10.1016/j.cell.2018.02.016; 10.1038/s41467-020-17408-w	
S__GCA_002688925.1	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	58	5	29497	100	TRUE	GCA_002688925.1	Symbiont_DPANN	Symbionts	Symbiont	uncertain	Host-dependent	Tier2_taxonomy_broad	0.7	GTDB_DPANN						GTDB c__Nanoarchaeia	Castelle & Banfield 2018 Cell; Dombrowski et al. 2020 Nat Commun	10.1016/j.cell.2018.02.016; 10.1038/s41467-020-17408-w	
S__3300026084_20	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	210	5	72453	100	TRUE	3300026084_20	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300026204_31	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	135	5	35209	100	TRUE	3300026204_31	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_014240055.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	421	5	201293	100	TRUE	GCA_014240055.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_014240255.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	284	5	102075	100	TRUE	GCA_014240255.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_015658585.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	128	5	38670	100	TRUE	GCA_015658585.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027700_39	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	57	5	10587	100	TRUE	3300027700_39	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_004195515.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	276	5	117521	100	TRUE	GCA_004195515.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_018659815.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	30	5	4712	100	TRUE	GCA_018659815.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027779_26	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	358	5	238207	100	TRUE	3300027779_26	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_905181715.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	44	5	12152	100	TRUE	GCA_905181715.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_002499015.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	484	5	1360969	100	TRUE	GCA_002499015.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_009937205.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	481	5	909041	100	TRUE	GCA_009937205.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_012959845.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	344	5	131801	100	TRUE	GCA_012959845.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__TARA_ARC_108_MAG_00082	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	429	5	398017	100	TRUE	TARA_ARC_108_MAG_00082	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027788_37	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	105	5	29746	100	TRUE	3300027788_37	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_905182125.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	364	5	286734	100	TRUE	GCA_905182125.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027791_27	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	492	5	959137	100	TRUE	3300027791_27	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027779_27	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	374	5	255067	100	TRUE	3300027779_27	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_905182715.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	449	5	426061	100	TRUE	GCA_905182715.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027687_20	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	473	5	1271050	100	TRUE	3300027687_20	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027791_31	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	102	5	59886	100	TRUE	3300027791_31	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027685_29	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	112	5	24703	100	TRUE	3300027685_29	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_009887135.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	301	5	140628	100	TRUE	GCA_009887135.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_012959275.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	368	5	183237	100	TRUE	GCA_012959275.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_014240385.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	53	5	11105	100	TRUE	GCA_014240385.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.5		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_012965105.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	132	5	37853	100	TRUE	GCA_012965105.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_012965585.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	47	5	11528	100	TRUE	GCA_012965585.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027847_80	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	466	5	939263	100	TRUE	3300027847_80	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_004195625.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	422	5	1079962	100	TRUE	GCA_004195625.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_002699665.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	216	5	96008	100	TRUE	GCA_002699665.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_003672175.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	468	5	1014927	100	TRUE	GCA_003672175.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027844_79	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	443	5	382744	100	TRUE	3300027844_79	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_012960975.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	96	5	55361	100	TRUE	GCA_012960975.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_016777225.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	479	5	1246126	100	TRUE	GCA_016777225.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027827_16	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	473	5	588348	100	TRUE	3300027827_16	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_018645645.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	77	5	17216	100	TRUE	GCA_018645645.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_905182695.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	241	5	140799	100	TRUE	GCA_905182695.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_015659615.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	139	5	40910	100	TRUE	GCA_015659615.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_002505495.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	306	5	131571	100	TRUE	GCA_002505495.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_012959435.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	337	5	127713	100	TRUE	GCA_012959435.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.5		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__GCA_012964335.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	489	5	835386	100	TRUE	GCA_012964335.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_014384685.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	318	5	125731	100	TRUE	GCA_014384685.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_016845345.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	91	5	18468	100	TRUE	GCA_016845345.1	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.5		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__3300027839_75	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	50	5	11958	100	TRUE	3300027839_75	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300027844_58	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	95	5	33952	100	TRUE	3300027844_58	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300026265_18	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	177	5	44734	100	TRUE	3300026265_18	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.38		TCA cycle + glycolysis	Universal heterotrophic metabolism		
S__3300027844_60	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	316	5	137346	100	TRUE	3300027844_60	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__GCA_002457605.1	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	249	5	79629	100	TRUE	GCA_002457605.1	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
S__3300020263_16	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	505	5	904879	100	TRUE	3300020263_16	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII						GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	
