sample	taxon	count	relative_abundance	domain	phylum	functional_group	signal_source	tea_primary	confidence_score	module_completeness_detail
LV3003047059	S__3300024433_21	5868	0.0738001811047389	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047059	S__GCA_016838845.1	4583	0.0576390985008552	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047059	S__3300005253_25	2942	0.0370007042962069	d__Bacteria	p__Aerophobota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0
LV3003047059	S__GCA_011049715.1	2681	0.0337181809035114	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047059	S__3300024058_12	2210	0.027794546735084	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047059	S__GCA_012974305.1	2197	0.0276310494013482	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047059	S__GCA_001795235.1	2045	0.0257193882684375	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047059	S__GCA_001796995.1	1604	0.0201730556394003	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047059	S__GCA_015492195.1	1591	0.0200095583056646	d__Bacteria	p__Proteobacteria	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047059	S__3300024431_33	1364	0.0171546433242781	d__Bacteria	p__Actinobacteriota	Core_heterotrophy	uncertain	O2	0.7	""
LV3003047059	S__GCA_005223095.1	1037	0.013042056544924	d__Bacteria	p__Aerophobota	Unknown	uncertain	Unknown	0.1	""
LV3003047059	S__GCA_016178045.1	1026	0.0129037126471476	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047059	S__GCA_011055585.1	1015	0.0127653687493712	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047059	S__GCA_016838795.1	980	0.0123251836200825	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047060	S__GCA_016838845.1	2939	0.0625665261634096	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047060	S__GCA_013911135.1	1129	0.0240345723166007	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047060	S__GCF_012276695.1	1088	0.0231617490526674	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.67;W00008:0.33;W00010:1;W00011:0.5
LV3003047060	S__GCA_001795235.1	1060	0.0225656746285179	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047060	S__3300024058_12	1032	0.0219696002043684	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047060	S__GCF_002954445.1	994	0.0211606420573083	d__Bacteria	p__Verrucomicrobiota	Denitrification	particle_associated	NO3-	0.9425	M00530:0.75
LV3003047060	S__GCA_905612275.1	885	0.0188402094775833	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047060	S__3300027801_13	875	0.0186273257546728	d__Bacteria	p__Verrucomicrobiota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
LV3003047060	S__GCA_011055585.1	858	0.0182654234257249	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047060	S__GCA_017854145.1	787	0.01675394899306	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.75
LV3003047060	S__3300027847_80	759	0.0161578745689105	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
LV3003047060	S__3300020187_18	726	0.0154553582833057	d__Bacteria	p__Verrucomicrobiota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
LV3003047060	S__GCA_905182865.1	710	0.0151147443266488	d__Bacteria	p__SAR324	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.67;W00008:0.33;W00010:1;W00011:0.38
LV3003047060	S__GCA_002713705.1	669	0.0142419210627155	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.5
LV3003047060	S__GCA_905478615.1	667	0.0141993443181334	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.75
LV3003047061	S__GCA_016782865.1	5329	0.135353432729674	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047061	S__GCA_016838845.1	2867	0.0728200960097534	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047061	S__3300024433_21	2031	0.0515861928830865	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047061	S__3300024058_12	1810	0.0459729242335729	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047061	S__GCA_011049715.1	1050	0.0266693759366031	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047061	S__GCA_013911135.1	853	0.0216656930227833	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047061	S__GCA_905612295.1	795	0.0201925274948566	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047061	S__GCA_001796995.1	782	0.0198623352213558	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047061	S__GCA_001795235.1	714	0.0181351756368901	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047061	S__GCA_016838795.1	669	0.0169922023824643	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047061	S__GCF_012276695.1	634	0.0161032231845775	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.67;W00008:0.33;W00010:1;W00011:0.5
LV3003047061	S__3300020187_18	631	0.0160270249676158	d__Bacteria	p__Verrucomicrobiota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
LV3003047061	S__3300027801_13	586	0.0148840517131899	d__Bacteria	p__Verrucomicrobiota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
LV3003047061	S__GCA_905182865.1	562	0.0142744659774961	d__Bacteria	p__SAR324	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.67;W00008:0.33;W00010:1;W00011:0.38
LV3003047061	S__GCA_004195625.1	522	0.0132584897513398	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
LV3003047062	S__GCA_016782865.1	4600	0.116941224323775	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047062	S__GCA_016838845.1	2212	0.0562334756965629	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047062	S__GCA_013911135.1	1993	0.0506660565385398	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047062	S__3300024058_12	1821	0.0462934716290421	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047062	S__3300005253_25	1674	0.0425564368517389	d__Bacteria	p__Aerophobota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0
LV3003047062	S__3300024433_21	1642	0.04174293268253	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047062	S__GCA_001795235.1	1406	0.0357433394346146	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047062	S__GCA_011049715.1	1186	0.0301504982713036	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047062	S__GCA_005223095.1	1000	0.0254220052877771	d__Bacteria	p__Aerophobota	Unknown	uncertain	Unknown	0.1	""
LV3003047062	S__GCA_008974855.1	662	0.0168293675005084	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047062	S__GCA_004376185.1	649	0.0164988814317673	d__Bacteria	p__Aerophobota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.12
LV3003047062	S__GCA_013390475.1	644	0.0163717714053285	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047062	S__3300024431_33	556	0.0141346349400041	d__Bacteria	p__Actinobacteriota	Core_heterotrophy	uncertain	O2	0.7	""
LV3003047062	S__GCA_013215285.1	531	0.0134990848078096	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047062	S__GCA_011055585.1	479	0.0121771405328452	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047063	S__3300024433_21	3940	0.160097521332792	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047063	S__GCA_016782865.1	3822	0.15530272247054	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047063	S__3300005253_25	1596	0.0648516863063795	d__Bacteria	p__Aerophobota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0
LV3003047063	S__GCA_016838845.1	1199	0.0487200325071109	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047063	S__3300024058_12	1033	0.0419748069890288	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047063	S__GCA_001796995.1	997	0.0405119869971556	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047063	S__GCA_001795235.1	958	0.038927265339293	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047063	S__GCA_001303465.1	676	0.0274685087362861	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.25
LV3003047063	S__3300020262_3	625	0.0253961804144657	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047063	S__GCA_013911135.1	575	0.0233644859813084	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047063	S__GCA_011049715.1	526	0.0213734254368143	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047063	S__3300024431_33	472	0.0191791954490045	d__Bacteria	p__Actinobacteriota	Core_heterotrophy	uncertain	O2	0.7	""
LV3003047063	S__GCF_002836475.1	412	0.0167411621292158	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.75
LV3003047063	S__GCA_011055585.1	352	0.0143031288094271	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047063	S__GCA_004124875.1	333	0.0135310849248273	d__Bacteria	p__Marinisomatota	Pelagic_heterotroph	pelagic_export	O2	0.85	""
LV3003047064	S__3300024058_12	3844	0.176979742173112	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047064	S__GCA_016838845.1	3466	0.159576427255985	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047064	S__GCA_016782865.1	2227	0.102532228360958	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047064	S__3300024433_21	1230	0.0566298342541437	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047064	S__GCA_001796995.1	1022	0.0470534069981584	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047064	S__GCA_001643535.1	987	0.0454419889502762	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.12
LV3003047064	S__GCA_016838795.1	864	0.0397790055248619	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047064	S__GCA_005223095.1	733	0.0337476979742173	d__Bacteria	p__Aerophobota	Unknown	uncertain	Unknown	0.1	""
LV3003047064	S__GCA_011055585.1	603	0.0277624309392265	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047064	S__GCA_011049715.1	515	0.0237108655616943	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047064	S__3300026253_28	507	0.0233425414364641	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:0;W00011:0.38
LV3003047064	S__3300020364_17	495	0.0227900552486188	d__Bacteria	p__Proteobacteria	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047064	S__GCA_012974305.1	448	0.0206261510128913	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047064	S__GCA_016178045.1	415	0.0191068139963168	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047064	S__GCA_004357035.1	412	0.0189686924493554	d__Bacteria	p__Actinobacteriota	Core_heterotrophy	uncertain	O2	0.7	""
LV3003047073	S__GCA_016782865.1	922	0.201046663759267	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047073	S__GCA_016838845.1	573	0.124945486262538	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047073	S__3300024433_21	510	0.111208024422154	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047073	S__3300005253_25	492	0.107283035324902	d__Bacteria	p__Aerophobota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0
LV3003047073	S__GCA_001795235.1	475	0.103576101177497	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047073	S__GCA_001796995.1	379	0.08264282599215	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047073	S__GCA_011049715.1	350	0.0763192324465765	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047073	S__GCA_011055585.1	280	0.0610553859572612	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047073	S__3300024058_12	223	0.0486262538159616	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047073	S__GCA_005223095.1	171	0.0372873964238988	d__Bacteria	p__Aerophobota	Unknown	uncertain	Unknown	0.1	""
LV3003047073	S__3300025798_6	109	0.0237679895333624	d__Bacteria	p__Actinobacteriota	Core_heterotrophy	uncertain	O2	0.7	""
LV3003047073	S__GCA_012974305.1	102	0.0222416048844309	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047074	S__GCA_016782865.1	1685	0.206621704475782	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047074	S__GCA_016838845.1	821	0.100674432863274	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047074	S__3300024433_21	779	0.0955242182709994	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047074	S__3300005253_25	718	0.0880441446965052	d__Bacteria	p__Aerophobota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0
LV3003047074	S__GCA_001795235.1	642	0.0787247087676272	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047074	S__GCA_011049715.1	585	0.0717351318209687	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047074	S__3300024058_12	501	0.0614347026364194	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047074	S__GCA_005223095.1	423	0.0518700183936235	d__Bacteria	p__Aerophobota	Unknown	uncertain	Unknown	0.1	""
LV3003047074	S__GCA_011055585.1	340	0.0416922133660331	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047074	S__GCA_001303465.1	216	0.0264868179031269	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.25
LV3003047074	S__3300011118_20	200	0.0245248313917842	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047074	S__GCA_013911135.1	197	0.0241569589209074	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047074	S__GCA_004376485.1	192	0.0235438381361128	d__Bacteria	p__Aerophobota	Unknown	uncertain	Unknown	0.1	""
LV3003047074	S__GCA_008974855.1	161	0.0197424892703863	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047074	S__GCA_016178045.1	157	0.0192519926425506	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047077	S__GCA_016838795.1	3911	0.0848538760278579	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047077	S__GCF_013390125.1	2459	0.0533509795838667	d__Bacteria	p__Actinobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.75
LV3003047077	S__GCA_011049715.1	2348	0.0509427003102558	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047077	S__GCA_011055585.1	2239	0.0485778134559892	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047077	S__GCA_001795235.1	2157	0.0467987242628713	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047077	S__GCA_016838845.1	1733	0.0375995313618711	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047077	S__GCF_002836055.1	1540	0.0334121628951422	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
LV3003047077	S__3300024058_12	1344	0.0291597057993968	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047077	S__GCA_012974305.1	1226	0.0265995530580808	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047077	S__GCF_002836745.1	888	0.0192662341888872	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047077	S__GCA_016838825.1	688	0.0149269922544531	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047077	S__TARA_ARC_108_MAG_00146	664	0.0144062832223211	d__Bacteria	p__Verrucomicrobiota	Particle_heterotroph	particle_associated	O2	0.85	""
LV3003047077	S__GCA_015659035.1	652	0.014145928706255	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.75;W00008:1;W00010:0;W00011:0.5
LV3003047077	S__GCA_001303465.1	589	0.0127790674969083	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.25
LV3003047077	S__TARA_ARC_108_MAG_00198	561	0.0121715736260875	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.5
LV3003047078	S__GCA_016782865.1	2045	0.152657509704389	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
LV3003047078	S__GCA_016838845.1	1551	0.115780830098537	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047078	S__GCA_001795235.1	1151	0.0859211704986563	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047078	S__GCA_004376265.1	703	0.0524783517467901	d__Archaea	p__Asgardarchaeota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.25
LV3003047078	S__GCA_011049715.1	629	0.0469543147208122	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
LV3003047078	S__3300024058_12	531	0.0396386981188414	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
LV3003047078	S__GCA_011055585.1	478	0.0356822932218573	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047078	S__GCA_016178045.1	443	0.0330695730068677	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
LV3003047078	S__GCF_002836055.1	296	0.0220961481039116	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
LV3003047078	S__GCA_016838795.1	291	0.0217229023589131	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047078	S__GCA_001303465.1	261	0.0194834278889221	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.25
LV3003047078	S__GCA_011773465.1	252	0.0188115855479248	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.5
